0,1,6096,4203,0,1893,4203,4203,4159
0,2,6096,4407,64,1625,4471,4203,4312
0,3,6096,4751,320,1025,5071,4203,4652
0,4,6096,4768,501,827,5269,4203,4621
0,5,6096,4742,701,653,5443,4203,4559
0,6,6096,4721,827,548,5548,4203,4549
0,7,6096,4708,932,456,5640,4203,4537
0,8,6096,4706,1002,388,5708,4203,4520
0,9,6096,4704,1093,299,5797,4203,4505
0,10,6096,4714,1166,216,5880,4203,4485
0,11,6096,4680,1271,145,5951,4203,4450
0,12,6096,4669,1334,93,6003,4203,4443
0,13,6096,4663,1377,56,6040,4203,4443
0,14,6096,4646,1411,39,6057,4203,4426
0,15,6096,4644,1427,25,6071,4203,4423
0,16,6096,4644,1449,3,6093,4203,4421
1,1,6096,4425,0,1671,4425,4425,4390
1,2,6096,4628,64,1404,4692,4425,4556
1,3,6096,4867,321,908,5188,4425,4785
1,4,6096,4882,500,714,5382,4425,4756
1,5,6096,4864,674,558,5538,4425,4706
1,6,6096,4849,787,460,5636,4425,4697
1,7,6096,4849,871,376,5720,4425,4684
1,8,6096,4843,952,301,5795,4425,4672
1,9,6096,4829,1038,229,5867,4425,4661
1,10,6096,4835,1112,149,5947,4425,4644
1,11,6096,4807,1189,100,5996,4425,4617
1,12,6096,4796,1234,66,6030,4425,4610
1,13,6096,4793,1272,31,6065,4425,4609
1,14,6096,4782,1293,21,6075,4425,4601
1,15,6096,4779,1305,12,6084,4425,4595
1,16,6096,4779,1316,1,6095,4425,4592
2,1,6096,4202,0,1894,4202,4202,4149
2,2,6096,4435,69,1592,4504,4202,4330
2,3,6096,4735,380,981,5115,4202,4624
2,4,6096,4745,556,795,5301,4202,4591
2,5,6096,4718,734,644,5452,4202,4526
2,6,6096,4708,871,517,5579,4202,4515
2,7,6096,4704,975,417,5679,4202,4502
2,8,6096,4702,1063,331,5765,4202,4488
2,9,6096,4692,1160,244,5852,4202,4475
2,10,6096,4697,1238,161,5935,4202,4453
2,11,6096,4664,1320,112,5984,4202,4418
2,12,6096,4651,1371,74,6022,4202,4413
2,13,6096,4643,1414,39,6057,4202,4412
2,14,6096,4629,1442,25,6071,4202,4399
2,15,6096,4626,1454,16,6080,4202,4396
2,16,6096,4625,1468,3,6093,4202,4392
3,1,6096,4425,0,1671,4425,4425,4390
3,2,6096,4628,64,1404,4692,4425,4556
3,3,6096,4867,321,908,5188,4425,4785
3,4,6096,4882,500,714,5382,4425,4756
3,5,6096,4864,674,558,5538,4425,4706
3,6,6096,4849,787,460,5636,4425,4697
3,7,6096,4849,871,376,5720,4425,4684
3,8,6096,4843,952,301,5795,4425,4672
3,9,6096,4829,1038,229,5867,4425,4661
3,10,6096,4835,1112,149,5947,4425,4644
3,11,6096,4807,1189,100,5996,4425,4617
3,12,6096,4796,1234,66,6030,4425,4610
3,13,6096,4793,1272,31,6065,4425,4609
3,14,6096,4782,1293,21,6075,4425,4601
3,15,6096,4779,1305,12,6084,4425,4595
3,16,6096,4779,1316,1,6095,4425,4592
4,1,6096,4202,0,1894,4202,4202,4149
4,2,6096,4435,69,1592,4504,4202,4330
4,3,6096,4735,380,981,5115,4202,4624
4,4,6096,4745,556,795,5301,4202,4591
4,5,6096,4718,734,644,5452,4202,4526
4,6,6096,4708,871,517,5579,4202,4515
4,7,6096,4704,975,417,5679,4202,4502
4,8,6096,4702,1063,331,5765,4202,4488
4,9,6096,4692,1160,244,5852,4202,4475
4,10,6096,4697,1238,161,5935,4202,4453
4,11,6096,4664,1320,112,5984,4202,4418
4,12,6096,4651,1371,74,6022,4202,4413
4,13,6096,4643,1414,39,6057,4202,4412
4,14,6096,4629,1442,25,6071,4202,4399
4,15,6096,4626,1454,16,6080,4202,4396
4,16,6096,4625,1468,3,6093,4202,4392
